[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N(C([H])([H])[H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(F)c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]Oc1c(F)c(F)c(-c2nnn([C@]3([H])[C@@]([H])(O[H])[C@]([H])(Sc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])O[C@]([H])(C([H])([H])O[H])[C@]3([H])O[H])c2[H])c(F)c1F
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N(C([H])([H])[H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(OC([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N(C([H])([H])[H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(F)c(F)c3F)c2[H])[C@@]1([H])O[H]
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N(C([H])([H])[H])C([H])([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H],[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(n2nnc(-c3c(F)c(F)c(N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(F)c3F)c2[H])[C@@]1([H])O[H]
